State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35128,4,450,39227
AL,35128,5,610,79916
AL,35128,6,130,47203
AL,35130,1,460,5997
AL,35130,2,330,11560
AL,35130,3,200,12181
AL,35130,4,110,9549
AL,35130,5,100,14396
AL,35130,6,0,0
AL,35131,1,580,7395
AL,35131,2,440,15885
AL,35131,3,230,14374
AL,35131,4,120,9997
AL,35131,5,110,14433
AL,35131,6,0,0
AL,35133,1,550,7249
AL,35133,2,410,14941
AL,35133,3,280,17432
AL,35133,4,170,14868
AL,35133,5,150,23244
AL,35133,6,0,0
AL,35135,1,260,3574
AL,35135,2,190,6623
AL,35135,3,150,9106
AL,35135,4,90,7598
AL,35135,5,120,17832
AL,35135,6,0,0
AL,35136,1,240,3038
AL,35136,2,170,6108
AL,35136,3,110,6706
AL,35136,4,60,5305
AL,35136,5,70,10030
AL,35136,6,0,0
AL,35143,1,480,5773
AL,35143,2,320,11446
AL,35143,3,160,10177
AL,35143,4,120,10395
AL,35143,5,130,18239
AL,35143,6,30,10481
AL,35146,1,1340,16177
AL,35146,2,1010,36835
AL,35146,3,730,45856
AL,35146,4,560,48707
AL,35146,5,750,99146
AL,35146,6,130,43234
AL,35147,1,630,7842
AL,35147,2,500,18615
AL,35147,3,380,23402
AL,35147,4,280,23603
AL,35147,5,400,54451
AL,35147,6,90,33513
AL,35148,1,460,5869
AL,35148,2,290,10110
AL,35148,3,140,8383
AL,35148,4,100,8723
AL,35148,5,70,11989
AL,35148,6,0,0
AL,35149,1,110,1570
AL,35149,2,80,2988
AL,35149,3,50,3862
AL,35149,4,0,0
AL,35149,5,0,0
AL,35149,6,0,0
AL,35150,1,3090,40175
AL,35150,2,1910,68165
AL,35150,3,890,54483
AL,35150,4,490,41782
AL,35150,5,490,63583
AL,35150,6,70,26109
AL,35151,1,1100,14182
AL,35151,2,750,27062
AL,35151,3,460,28206
AL,35151,4,310,26322
AL,35151,5,290,36603
AL,35151,6,30,9694
AL,35160,1,4420,59080
AL,35160,2,2780,99624
AL,35160,3,1210,74231
AL,35160,4,650,55793
AL,35160,5,520,67463
AL,35160,6,100,45701
AL,35171,1,460,6065
AL,35171,2,330,11780
AL,35171,3,220,13961
AL,35171,4,130,10835
AL,35171,5,190,28958
AL,35171,6,0,0
AL,35172,1,430,5373
AL,35172,2,320,11588
AL,35172,3,190,11828
AL,35172,4,90,7541
AL,35172,5,90,11129
AL,35172,6,0,0
AL,35173,1,3280,37549
AL,35173,2,2260,83026
AL,35173,3,1840,113866
AL,35173,4,1590,139193
AL,35173,5,2950,396985
AL,35173,6,790,275835
AL,35175,1,730,9283
AL,35175,2,510,18853
AL,35175,3,300,18803
AL,35175,4,210,18216
AL,35175,5,270,35919
AL,35175,6,40,20384
AL,35176,1,130,1719
AL,35176,2,100,3506
AL,35176,3,50,2750
AL,35176,4,30,2439
AL,35176,5,20,3490
AL,35176,6,0,0
AL,35178,1,590,7613
AL,35178,2,390,13876
AL,35178,3,230,13654
AL,35178,4,120,9905
AL,35178,5,110,14233
AL,35178,6,20,7392
AL,35179,1,1440,17955
AL,35179,2,960,34562
AL,35179,3,600,36582
AL,35179,4,340,29583
AL,35179,5,320,40735
AL,35179,6,70,28643
AL,35180,1,1820,23058
AL,35180,2,1400,51573
AL,35180,3,980,60696
AL,35180,4,630,54594
AL,35180,5,770,98156
AL,35180,6,80,23853
AL,35183,1,100,1378
AL,35183,2,80,2930
AL,35183,3,40,2525
AL,35183,4,30,2227
AL,35183,5,30,3943
AL,35183,6,0,0
AL,35184,1,800,10840
AL,35184,2,610,22478
AL,35184,3,330,19904
AL,35184,4,190,16851
AL,35184,5,130,15757
AL,35184,6,20,5609
AL,35186,1,630,7772
AL,35186,2,420,15275
AL,35186,3,310,19249
AL,35186,4,240,20462
AL,35186,5,340,46960
AL,35186,6,80,36192
AL,35188,1,370,4598
AL,35188,2,290,10388
AL,35188,3,220,13689
AL,35188,4,140,12182
AL,35188,5,150,21521
AL,35188,6,0,0
AL,35203,1,540,6973
AL,35203,2,270,9832
AL,35203,3,160,9929
AL,35203,4,100,9009
AL,35203,5,160,21683
AL,35203,6,120,77130
AL,35204,1,2320,31786
AL,35204,2,920,31385
AL,35204,3,240,14362
AL,35204,4,70,6251
AL,35204,5,40,7275
AL,35204,6,0,0
AL,35205,1,3330,44973
AL,35205,2,2370,84577
AL,35205,3,830,49303
AL,35205,4,350,30211
AL,35205,5,470,66035
AL,35205,6,280,163075
AL,35206,1,3720,51183
AL,35206,2,1830,63942
AL,35206,3,590,35104
AL,35206,4,220,18981
AL,35206,5,170,24589
AL,35206,6,0,0
AL,35207,1,2070,27809
